dhfvwjvwjhevfwedsjdvwwrgewgqwfqwtimeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660212600790,30074,yesIpledge API,500,Internal Server Error,users 1-2,text,false,,871,318,2,2,https://drf.reposenergy.com/api/web/v1/utilities/ipledge_cert,30074,0,52
1660212601068,31203,yesIpledge API,500,Internal Server Error,users 1-5,text,false,,869,318,1,1,https://drf.reposenergy.com/api/web/v1/utilities/ipledge_cert,31203,0,35
1660212649331,135,yesIpledge,200,OK,users 1-1,text,true,,8438,270,2,2,https://partner.reposenergy.com/yesIpledge,38,0,19
1660212649331,38,yesIpledge-0,301,Moved Permanently,users 1-1,,true,,690,135,2,2,http://partner.reposenergy.com/yesIpledge,38,0,19
1660212649372,94,yesIpledge-1,200,OK,users 1-1,text,true,,7748,135,2,2,https://partner.reposenergy.com/yesIpledge,94,0,50
1660212649436,121,yesIpledge,200,OK,users 1-2,text,true,,8430,270,3,3,https://partner.reposenergy.com/yesIpledge,47,0,13
1660212649436,47,yesIpledge-0,301,Moved Permanently,users 1-2,,true,,698,135,3,3,http://partner.reposenergy.com/yesIpledge,47,0,13
1660212649483,74,yesIpledge-1,200,OK,users 1-2,text,true,,7732,135,3,3,https://partner.reposenergy.com/yesIpledge,73,0,36
1660212649536,195,yesIpledge,200,OK,users 1-3,text,true,,8438,270,4,4,https://partner.reposenergy.com/yesIpledge,37,0,9
1660212649536,37,yesIpledge-0,301,Moved Permanently,users 1-3,,true,,694,135,4,4,http://partner.reposenergy.com/yesIpledge,37,0,9
1660212649574,157,yesIpledge-1,200,OK,users 1-3,text,true,,7744,135,4,4,https://partner.reposenergy.com/yesIpledge,156,0,34
1660212649630,116,yesIpledge,200,OK,users 1-4,text,true,,8430,270,5,5,https://partner.reposenergy.com/yesIpledge,49,0,11
1660212649630,49,yesIpledge-0,301,Moved Permanently,users 1-4,,true,,694,135,5,5,http://partner.reposenergy.com/yesIpledge,49,0,11
1660212649680,66,yesIpledge-1,200,OK,users 1-4,text,true,,7736,135,5,5,https://partner.reposenergy.com/yesIpledge,63,0,33
1660212649733,139,yesIpledge,200,OK,users 1-5,text,true,,8434,270,6,6,https://partner.reposenergy.com/yesIpledge,54,0,9
1660212649733,54,yesIpledge-0,301,Moved Permanently,users 1-5,,true,,698,135,6,6,http://partner.reposenergy.com/yesIpledge,54,0,9
1660212649788,84,yesIpledge-1,200,OK,users 1-5,text,true,,7736,135,6,6,https://partner.reposenergy.com/yesIpledge,83,0,36
